Timestamp	Filename	Error	Message
2023-03-02 16:28:52.300 +0100	mac_addresses.fmp12	8432	Page 63 marked free but not in free list
2023-03-02 16:28:52.300 +0100	mac_addresses.fmp12	8432	Page 64 marked free but not in free list
2023-03-02 16:28:52.300 +0100	mac_addresses.fmp12	8432	Page 65 marked free but not in free list
2023-03-02 16:28:52.301 +0100	mac_addresses.fmp12	8432	Page 66 marked free but not in free list
2023-03-02 16:28:52.301 +0100	mac_addresses.fmp12	8432	Page 67 marked free but not in free list
2023-03-02 16:28:52.302 +0100	mac_addresses.fmp12	8432	Page 68 marked free but not in free list
2023-03-02 16:28:52.302 +0100	mac_addresses.fmp12	8432	Page 69 marked free but not in free list
2023-03-02 16:28:52.303 +0100	mac_addresses.fmp12	8432	Page 70 marked free but not in free list
2023-03-02 16:28:52.304 +0100	mac_addresses.fmp12	8432	Page 71 marked free but not in free list
2023-03-02 16:28:52.304 +0100	mac_addresses.fmp12	8432	Page 72 marked free but not in free list
2023-03-02 16:28:52.305 +0100	mac_addresses.fmp12	8432	Page 73 marked free but not in free list
2023-03-02 16:28:52.305 +0100	mac_addresses.fmp12	0	Reset maximum block sequence number to 8583
2023-03-02 16:28:52.306 +0100	mac_addresses.fmp12	0	*** Completed consistency check, checked 73 block(s)
